t_ps,Delta_live_meV,Delta_fold_of_A_meV,g1,A_um_inv,lorentzian,mu_nl_meV
5.999999999999999778e-02,6.001708512356702663e-01,2.281358163405771133e-01,8.733842322628533328e-01,1.411690987876689451e+00,9.999675675577528455e-01,-5.519366110048049001e-02
6.199999999999999956e-02,6.001831824326003817e-01,2.279927653894020523e-01,8.733998586249561713e-01,1.412001039944352554e+00,9.999627171638246770e-01,-5.507170637178655792e-02
6.400000000000000133e-02,6.001959567052476130e-01,2.278496800121784238e-01,8.734152917861266463e-01,1.412311166627860270e+00,9.999573362310176794e-01,-5.501600543670782939e-02
6.600000000000000311e-02,6.002091747518411013e-01,2.277065601677644713e-01,8.734305885521547186e-01,1.412621368016384160e+00,9.999513867224679720e-01,-5.500080566011936872e-02
6.800000000000000488e-02,6.002228369795772345e-01,2.275634058223022227e-01,8.734460378272000947e-01,1.412931644183308855e+00,9.999448293556711942e-01,-5.497536152317357427e-02
7.000000000000000666e-02,6.002369435417735932e-01,2.274202169495385950e-01,8.734619725056677053e-01,1.413241995185535949e+00,9.999376236221795278e-01,-5.487344326548411477e-02
7.200000000000000844e-02,6.002514944077196324e-01,2.272769935311253209e-01,8.734786040963380405e-01,1.413552421062833853e+00,9.999297277861819433e-01,-5.468200865663714466e-02
7.399999999999999634e-02,6.002664895089525610e-01,2.271337355568841532e-01,8.734959078875358385e-01,1.413862921837263142e+00,9.999210988276843182e-01,-5.446380024960970762e-02
7.599999999999999811e-02,6.002819289225581612e-01,2.269904430250350991e-01,8.735135546553925989e-01,1.414173497512681843e+00,9.999116923351825115e-01,-5.429301457062209874e-02
7.799999999999999989e-02,6.002978128692543214e-01,2.268471159424293448e-01,8.735310903637467650e-01,1.414484148074240499e+00,9.999014624827176068e-01,-5.419163060719241198e-02
8.000000000000000167e-02,6.003141414873777171e-01,2.267037543248300313e-01,8.735482949620458903e-01,1.414794873487773774e+00,9.998903621616715975e-01,-5.412821327911514907e-02
8.200000000000000344e-02,6.003309146471923485e-01,2.265603581972222558e-01,8.735652798411316367e-01,1.415105673699128319e+00,9.998783431313872372e-01,-5.406430617508273251e-02
8.400000000000000522e-02,6.003481319971447627e-01,2.264169275941073645e-01,8.735822541189325330e-01,1.415416548633525062e+00,9.998653560342876112e-01,-5.399267892924164425e-02
8.600000000000000699e-02,6.003657931828861871e-01,2.262734625597525306e-01,8.735993657030421966e-01,1.415727498195018308e+00,9.998513502637559336e-01,-5.391102602338411487e-02
8.799999999999999489e-02,6.003838980731107666e-01,2.261299631484059436e-01,8.736167360824145245e-01,1.416038522266029220e+00,9.998362737767344521e-01,-5.377974794623954086e-02
8.999999999999999667e-02,6.004024468098472234e-01,2.259864294245118588e-01,8.736344350654081659e-01,1.416349620706879753e+00,9.998200730075972320e-01,-5.357462639688057721e-02
9.199999999999999845e-02,6.004214396368657836e-01,2.258428614629611197e-01,8.736523881624244092e-01,1.416660793355249748e+00,9.998026929738323965e-01,-5.336231448465869609e-02
