A_over_Ac,Gamma_sch_ps_inv,T_K,Gamma_thermal,Gamma_total
1.947236180904522440e-01,1.354154932891215942e-08,1.706030150753768959e-01,1.119260072803924080e-06,1.119789635352912304e-06
1.992462311557788857e-01,1.998402458232906304e-08,1.743718592964824121e-01,1.493799654300257309e-06,1.494329216849245532e-06
2.037688442211055273e-01,2.900105984534698611e-08,1.781407035175879283e-01,1.969469540613519508e-06,1.969999103162507519e-06
2.082914572864321689e-01,4.143151335658547560e-08,1.819095477386934445e-01,2.567032980445963629e-06,2.567562542994951641e-06
2.128140703517588106e-01,5.832620373513187870e-08,1.856783919597990162e-01,3.310105388566917813e-06,3.310634951115905824e-06
2.173366834170853967e-01,8.098544609650370459e-08,1.894472361809045324e-01,4.225316138562888022e-06,4.225845701111876033e-06
2.218592964824120384e-01,1.110000011889450240e-07,1.932160804020100486e-01,5.342452589367710508e-06,5.342982151916698520e-06
2.263819095477386800e-01,1.502952670218287265e-07,1.969849246231155648e-01,6.694584374865321759e-06,6.695113937414309771e-06
2.309045226130653217e-01,2.011784839017509134e-07,2.007537688442210810e-01,8.318166387021553999e-06,8.318695949570542857e-06
2.354271356783919633e-01,2.663886704830177172e-07,2.045226130653266527e-01,1.025311928868222216e-05,1.025364885123121102e-05
2.399497487437186050e-01,3.491489615230640367e-07,2.082914572864321689e-01,1.254288679100813644e-05,1.254341635355712530e-05
2.444723618090452466e-01,4.532209783457840271e-07,2.120603015075376852e-01,1.523446931301667507e-05,1.523499887556566393e-05
2.489949748743718327e-01,5.829608310911014347e-07,2.158291457286432014e-01,1.837843399927950675e-05,1.837896356182849392e-05
2.535175879396984744e-01,7.433763279197023859e-07,2.195979899497487176e-01,2.202890140074174094e-05,2.202943096329072810e-05
2.580402010050251160e-01,9.401849504469205780e-07,2.233668341708542893e-01,2.624350941883741789e-05,2.624403898138640505e-05
2.625628140703517577e-01,1.179872146579603356e-06,2.271356783919598055e-01,3.108335537207897300e-05,3.108388493462796356e-05
2.670854271356783993e-01,1.469749491222781254e-06,2.309045226130653217e-01,3.661291726593289499e-05,3.661344682848188554e-05
2.716080402010050410e-01,1.818012271463620245e-06,2.346733668341708379e-01,4.289995553102941980e-05,4.290048509357841035e-05
2.761306532663316271e-01,2.233796065175501121e-06,2.384422110552763541e-01,5.001539664250691285e-05,5.001592620505590340e-05
2.806532663316582688e-01,2.727231899789147672e-06,2.422110552763819258e-01,5.803320014619556104e-05,5.803372970874455159e-05
2.851758793969849104e-01,3.309499600481608601e-06,2.459798994974874420e-01,6.703021069760485779e-05,6.703074026015384834e-05
2.896984924623115520e-01,3.992878963454281082e-06,2.497487437185929582e-01,7.708599676990749653e-05,7.708652633245648709e-05
2.942211055276381937e-01,4.790798419530718049e-06,2.535175879396984744e-01,8.828267771014018303e-05,8.828320727268917359e-05
2.987437185929648353e-01,5.717880885253291584e-06,2.572864321608039906e-01,1.007047408217001851e-04,1.007052703842491756e-04
3.032663316582914215e-01,6.789986532284922463e-06,2.610552763819095623e-01,1.144388501289105638e-04,1.144393796914595544e-04
3.077889447236180631e-01,8.024252240569229808e-06,2.648241206030150785e-01,1.295736484389673577e-04,1.295741780015163347e-04
3.123115577889447048e-01,9.439127535770117707e-06,2.685929648241205947e-01,1.461995542608548375e-04,1.462000838234038145e-04
3.168341708542713464e-01,1.105440684646508805e-05,2.723618090452261109e-01,1.644085550725573372e-04,1.644090846351063142e-04
3.213567839195979881e-01,1.289125795093576205e-05,2.761306532663316271e-01,1.842939983496555011e-04,1.842945279122044781e-04
3.258793969849245742e-01,1.497224651678045547e-05,2.798994974874371988e-01,2.059503816825360189e-04,2.059509112450849959e-04
3.304020100502512158e-01,1.732135666863101649e-05,2.836683417085427150e-01,2.294731432180572087e-04,2.294736727806061857e-04
3.349246231155778575e-01,1.996400754971058944e-05,2.874371859296482312e-01,2.549584535665316712e-04,2.549589831290806482e-04
3.394472361809044991e-01,2.292706587160514640e-05,2.912060301507537474e-01,2.825030102179686446e-04,2.825035397805176216e-04
3.439698492462311408e-01,2.623885447327357551e-05,2.949748743718592636e-01,3.122038354141122834e-04,3.122043649766612604e-04
3.484924623115577824e-01,2.992915693487414091e-05,2.987437185929648353e-01,3.441580783261943333e-04,3.441586078887433103e-04
3.530150753768844241e-01,3.402921831436931776e-05,3.025125628140703515e-01,3.784628222935091453e-04,3.784633518560581223e-04
3.575376884422110102e-01,3.857174209505172350e-05,3.062814070351758677e-01,4.152148977858267594e-04,4.152154273483757365e-04
3.620603015075376518e-01,4.359088345011230851e-05,3.100502512562813839e-01,4.545107016639506124e-04,4.545112312264995894e-04
3.665829145728642935e-01,4.912223894618114817e-05,3.138190954773869001e-01,4.964460232280105490e-04,4.964465527905595260e-04
3.711055276381909351e-01,5.520283282146192411e-05,3.175879396984924163e-01,5.411158774627265007e-04,5.411164070252754777e-04
3.756281407035175768e-01,6.187109998572537853e-05,3.213567839195979881e-01,5.886143458132427324e-04,5.886148753757917094e-04
3.801507537688442184e-01,6.916686589912373305e-05,3.251256281407035043e-01,6.390344247543654904e-04,6.390349543169144674e-04
3.846733668341708046e-01,7.713132349462520213e-05,3.288944723618090205e-01,6.924678823503193238e-04,6.924684119128683008e-04
3.891959798994974462e-01,8.580700731497241276e-05,3.326633165829145367e-01,7.490051229414072332e-04,7.490056525039562102e-04
3.937185929648240879e-01,9.523776503954207539e-05,3.364321608040200529e-01,8.087350600382945277e-04,8.087355896008435047e-04
3.982412060301507295e-01,1.054687265794617714e-04,3.402010050251256246e-01,8.717449974538798345e-04,8.717455270164288115e-04
4.027638190954773711e-01,1.165462709209354170e-04,3.439698492462311408e-01,9.381205186567364521e-04,9.381210482192854291e-04
4.072864321608040128e-01,1.285179908970670117e-04,3.477386934673366570e-01,1.007945384288844127e-03,1.007945913851393104e-03
4.118090452261306544e-01,1.414326560676798213e-04,3.515075376884421732e-01,1.081301437753376957e-03,1.081301967315925934e-03
4.163316582914572406e-01,1.553401738848116738e-04,3.552763819095476894e-01,1.158268518745759297e-03,1.158269048308308274e-03
4.208542713567838822e-01,1.702915493188536012e-04,3.590452261306532611e-01,1.238924384572526573e-03,1.238924914135075550e-03
4.253768844221105239e-01,1.863388431167811471e-04,3.628140703517587773e-01,1.323344639077661186e-03,1.323345168640210163e-03
4.298994974874371655e-01,2.035351288597327211e-04,3.665829145728642935e-01,1.411602668974801418e-03,1.411603198537350395e-03
4.344221105527638072e-01,2.219344489823858496e-04,3.703517587939698097e-01,1.503769587365591780e-03,1.503770116928140757e-03
4.389447236180904488e-01,2.415917699112900610e-04,3.741206030150753259e-01,1.599914184209510516e-03,1.599914713772059493e-03
4.434673366834170349e-01,2.625629364735969492e-04,3.778894472361808976e-01,1.700102883498307927e-03,1.700103413060856904e-03
4.479899497487436766e-01,2.849046257215823445e-04,3.816582914572864138e-01,1.804399706878491438e-03,1.804400236441040415e-03
4.525125628140703182e-01,3.086743003120349981e-04,3.854271356783919300e-01,1.912866243458154506e-03,1.912866773020703483e-03
4.570351758793969599e-01,3.339301615730772606e-04,3.891959798994974462e-01,2.025561625529160095e-03,2.025562155091709289e-03
4.615577889447236015e-01,3.607311023843333647e-04,3.929648241206029624e-01,2.142542509932553532e-03,2.142543039495102726e-03
4.660804020100502432e-01,3.891366599896257179e-04,3.967336683417085341e-01,2.263863064793634940e-03,2.263863594356184134e-03
4.706030150753768293e-01,4.192069688546153886e-04,4.005025125628140503e-01,2.389574961353036885e-03,2.389575490915586079e-03
4.751256281407034709e-01,4.510027136750449943e-04,4.042713567839195665e-01,2.519727370621798260e-03,2.519727900184347454e-03
4.796482412060301126e-01,4.845850826345370131e-04,4.080402010050250827e-01,2.654366964590915839e-03,2.654367494153465033e-03
4.841708542713567542e-01,5.200157210042740535e-04,4.118090452261306544e-01,2.793537921729604117e-03,2.793538451292153311e-03
4.886934673366833959e-01,5.573566851703791545e-04,4.155778894472361706e-01,2.937281936511256485e-03,2.937282466073805678e-03
4.932160804020100375e-01,5.966703971684283450e-04,4.193467336683416868e-01,3.085638232711336235e-03,3.085638762273885428e-03
4.977386934673366792e-01,6.380195997983305551e-04,4.231155778894472030e-01,3.238643580227699471e-03,3.238644109790248665e-03
5.022613065326633208e-01,6.814673123867572490e-04,4.268844221105527192e-01,3.396332315180470435e-03,3.396332844743019629e-03
5.067839195979899625e-01,7.270767872584644759e-04,4.306532663316582910e-01,3.558736363055700364e-03,3.558736892618249558e-03
5.113065326633166041e-01,7.749114669722146753e-04,4.344221105527638072e-01,3.725885264664642593e-03,3.725885794227191787e-03
5.158291457286432458e-01,8.250349423715680301e-04,4.381909547738693234e-01,3.897806204698249857e-03,3.897806734260799051e-03
5.203517587939698874e-01,8.775109114956261211e-04,4.419597989949748396e-01,4.074524042664498177e-03,4.074524572227047371e-03
5.248743718592965291e-01,9.324031393898163638e-04,4.457286432160803558e-01,4.256061346004474423e-03,4.256061875567023617e-03
5.293969849246230597e-01,9.897754188520585354e-04,4.494974874371859275e-01,4.442438425191289238e-03,4.442438954753838432e-03
5.339195979899497013e-01,1.049691532145159267e-03,4.532663316582914437e-01,4.633673370624351133e-03,4.633673900186900327e-03
5.384422110552763430e-01,1.112215213701943676e-03,4.570351758793969599e-01,4.829782091139861629e-03,4.829782620702410822e-03
5.429648241206029846e-01,1.177410113845631752e-03,4.608040201005024761e-01,5.030778353966526735e-03,5.030778883529075929e-03
5.474874371859296263e-01,1.245339763544098645e-03,4.645728643216079923e-01,5.236673825963953331e-03,5.236674355526502525e-03
5.520100502512562679e-01,1.316067540213048965e-03,4.683417085427135640e-01,5.447478115989089383e-03,5.447478645551638576e-03
5.565326633165829096e-01,1.389656634579763701e-03,4.721105527638190802e-01,5.663198818244109985e-03,5.663199347806659179e-03
5.610552763819095512e-01,1.466170018615877649e-03,4.758793969849245964e-01,5.883841556467019930e-03,5.883842086029569124e-03
5.655778894472361928e-01,1.545670414544694869e-03,4.796482412060301126e-01,6.109410028833678515e-03,6.109410558396227708e-03
5.701005025125628345e-01,1.628220264925759600e-03,4.834170854271356288e-01,6.339906053447668353e-03,6.339906583010217547e-03
5.746231155778894761e-01,1.713881703816842045e-03,4.871859296482412005e-01,6.575329614301327237e-03,6.575330143863876431e-03
5.791457286432161178e-01,1.802716529011104884e-03,4.909547738693467167e-01,6.815678907598557434e-03,6.815679437161106628e-03
5.836683417085427594e-01,1.894786175344998153e-03,4.947236180904522329e-01,7.060950388336526863e-03,7.060950917899076057e-03
5.881909547738694011e-01,1.990151689070432557e-03,4.984924623115577491e-01,7.311138817050238242e-03,7.311139346612787436e-03
5.927135678391960427e-01,2.088873703282854901e-03,5.022613065326633208e-01,7.566237306629806578e-03,7.566237836192355772e-03
5.972361809045226844e-01,2.191012414395199573e-03,5.060301507537688925e-01,7.826237369126798349e-03,7.826237898689346675e-03
6.017587939698492150e-01,2.296627559646088456e-03,5.097989949748743532e-01,8.091128962471508257e-03,8.091129492034056583e-03
6.062814070351758566e-01,2.405778395629295727e-03,5.135678391959799249e-01,8.360900537028707197e-03,8.360901066591255523e-03
6.108040201005024983e-01,2.518523677830085405e-03,5.173366834170853856e-01,8.635539081924745869e-03,8.635539611487294195e-03
6.153266331658291399e-01,2.634921641153074347e-03,5.211055276381909573e-01,8.915030171083979452e-03,8.915030700646527778e-03
6.198492462311557816e-01,2.755029981425091354e-03,5.248743718592965291e-01,9.199358008917314297e-03,9.199358538479862624e-03
6.243718592964824232e-01,2.878905837855619265e-03,5.286432160804019897e-01,9.488505475610453307e-03,9.488506005173001634e-03
6.288944723618090649e-01,3.006605776436689983e-03,5.324120603015075615e-01,9.782454171963602535e-03,9.782454701526150861e-03
6.334170854271357065e-01,3.138185774263279725e-03,5.361809045226130221e-01,1.008118446373868632e-02,1.008118499330123465e-02
6.379396984924623482e-01,3.273701204754754339e-03,5.399497487437185939e-01,1.038467552547424864e-02,1.038467605503679697e-02
6.424623115577889898e-01,3.413206823757316925e-03,5.437185929648241656e-01,1.069290538373171735e-02,1.069290591329426568e-02
6.469849246231156314e-01,3.556756756507048305e-03,5.474874371859296263e-01,1.100585095974043227e-02,1.100585148930298060e-02
6.515075376884422731e-01,3.704404485432718445e-03,5.512562814070351980e-01,1.132348811141220546e-02,1.132348864097475379e-02
6.560301507537689147e-01,3.856202838777314946e-03,5.550251256281407697e-01,1.164579167469921572e-02,1.164579220426176405e-02
6.605527638190954454e-01,4.012203980016995283e-03,5.587939698492462304e-01,1.197273550427237557e-02,1.197273603383492389e-02
6.650753768844220870e-01,4.172459398056048083e-03,5.625628140703518021e-01,1.230429251349961749e-02,1.230429304306216581e-02
6.695979899497487287e-01,4.337019898176290404e-03,5.663316582914572628e-01,1.264043471370661191e-02,1.264043524326916024e-02
6.741206030150753703e-01,4.505935593719424294e-03,5.701005025125628345e-01,1.298113325270492356e-02,1.298113378226747189e-02
6.786432160804020119e-01,4.679255898480739681e-03,5.738693467336684062e-01,1.332635845257446050e-02,1.332635898213700883e-02
6.831658291457286536e-01,4.857029519792713766e-03,5.776381909547738669e-01,1.367607984668994456e-02,1.367608037625249288e-02
6.876884422110552952e-01,5.039304452277100846e-03,5.814070351758794386e-01,1.403026621598272433e-02,1.403026674554527266e-02
6.922110552763819369e-01,5.226127972244312518e-03,5.851758793969848993e-01,1.438888562443105083e-02,1.438888615399359916e-02
6.967336683417085785e-01,5.417546632718936786e-03,5.889447236180904710e-01,1.475190545377436623e-02,1.475190598333691455e-02
7.012562814070352202e-01,5.613606259070635755e-03,5.927135678391960427e-01,1.511929243744789680e-02,1.511929296701044513e-02
7.057788944723618618e-01,5.814351945229697186e-03,5.964824120603015034e-01,1.549101269373619714e-02,1.549101322329874547e-02
7.103015075376885035e-01,6.019828050466910670e-03,6.002512562814070751e-01,1.586703175814525163e-02,1.586703228770780169e-02
7.148241206030151451e-01,6.230078196717704631e-03,6.040201005025125358e-01,1.624731461499408572e-02,1.624731514455663578e-02
7.193467336683416757e-01,6.445145266430686755e-03,6.077889447236181075e-01,1.663182572822837976e-02,1.663182625779092982e-02
7.238693467336683174e-01,6.665071400921224881e-03,6.115577889447236792e-01,1.702052907145920266e-02,1.702052960102175272e-02
7.283919597989949590e-01,6.889897999210786890e-03,6.153266331658291399e-01,1.741338815723148664e-02,1.741338868679403670e-02
