lambda_min_GOE,lambda_min_GUE
-1.040114476201529081e-01,-1.191189328660130914e-01
-2.277356579256761548e-01,-2.143398364689527158e-01
-2.803326137801764872e-01,-2.108968415184817868e-01
-2.277701019449966391e-01,-1.611950065365423401e-01
-1.551492156466863226e-01,-1.509770885189899714e-01
-2.395912905342094112e-01,-1.420386588027250652e-01
-1.329515737027733846e-01,-1.521962022054635932e-01
-1.625227683556609848e-01,-1.688492650048622201e-01
-1.418096067122296966e-01,-1.702996256569856148e-01
-2.032546211462640529e-01,-1.867218968967599702e-01
-1.300092595613170088e-01,-9.492317315682856360e-02
-2.792014456073043105e-01,-1.922429999213528251e-01
-1.591812119302988549e-01,-1.944599225022674294e-01
-1.782360016791337820e-01,-1.262584352336429405e-01
-1.590880247881700793e-01,-1.553304212097308123e-01
-2.037982368567911040e-01,-1.776604345432067911e-01
-1.197614101248715979e-01,-1.357359036368303018e-01
-1.841008109199784026e-01,-1.339242184873170871e-01
-2.660084861208156237e-01,-2.512916156187597894e-01
-1.962226933987146760e-01,-1.898490135811724544e-01
-1.606367158982554555e-01,-1.407854968566987774e-01
-2.868180939714524147e-01,-1.750263738403284308e-01
-2.078279330413902448e-01,-1.777936102418856967e-01
-1.540176720453848291e-01,-1.592982654085931260e-01
-1.941036976522612367e-01,-1.875744251287053410e-01
-9.372733442841620077e-02,-1.367312410083105501e-01
-1.203811574125444178e-01,-1.167343844231726185e-01
-2.535454182388878208e-01,-1.703992131338142035e-01
-2.138635313255038417e-01,-2.213966974005596722e-01
-1.612245081373650524e-01,-1.060777174116726562e-01
-1.563499592666048321e-01,-1.642071350639418004e-01
-1.919137937700571284e-01,-1.208871408308044015e-01
-2.588290765773297863e-01,-1.825995328365556669e-01
-1.446201730688280729e-01,-1.384356393193931778e-01
-9.626463540212626402e-02,-1.446497142134575420e-01
-1.770698836554746580e-01,-1.464327862445189976e-01
-2.216046658538839975e-01,-1.542785442159962384e-01
-2.125341257173344323e-01,-1.429157600820191443e-01
-1.510122299555904379e-01,-1.293993992604405563e-01
-1.883756076412071712e-01,-1.724633456593109848e-01
-1.998521043688269716e-01,-2.410484350267884657e-01
-1.792112962964605150e-01,-2.371110577962053656e-01
-1.841293840681414717e-01,-1.309522914422153739e-01
-1.532318161696447356e-01,-1.722543469630022916e-01
-9.634890646608550158e-02,-2.061574797629106837e-01
-2.057537364161677873e-01,-1.614148785545022891e-01
-1.836942781221889420e-01,-1.402719464262630888e-01
-1.777465298282106809e-01,-1.585725973131431876e-01
-1.281277627374933226e-01,-1.252254940753841361e-01
-2.717731127872227703e-01,-1.951394588100900385e-01
-2.758279492551188317e-01,-1.828512768171539349e-01
-1.838101002776825477e-01,-1.692460077220110104e-01
-2.186981172394923401e-01,-1.192651233574796993e-01
-2.616206190206797344e-01,-1.971431130858181391e-01
-2.706154324784210696e-01,-1.736705917550214473e-01
-2.736939414865982023e-01,-1.685319068000357134e-01
-2.244246218010865213e-01,-1.570684393379634114e-01
-1.990664810290647402e-01,-1.651876428856716150e-01
-1.807168757357493771e-01,-1.554149564536399242e-01
-1.287453130139669943e-01,-1.576325929668869474e-01
-1.388727247154163680e-01,-1.685703851767897943e-01
-1.412353222447280121e-01,-1.879270060785336316e-01
-2.653215157194672713e-01,-2.226812393163960513e-01
-2.129540894206531365e-01,-2.415870775831947537e-01
-1.865379945014282170e-01,-1.458615397973712091e-01
-2.554750099110446038e-01,-2.285708793374832681e-01
-1.651533139910245085e-01,-1.745742096510687624e-01
-1.127745274562514943e-01,-1.396794829146398853e-01
-1.801241498097008176e-01,-1.234442173007254118e-01
-1.928914489405670341e-01,-1.759200927856423846e-01
-2.456564163555901292e-01,-2.114193962841472429e-01
-1.145366405822558914e-01,-1.470595170927278261e-01
-1.288655488643822289e-01,-1.582083166235450644e-01
-2.208514963441930157e-01,-1.998019156549581399e-01
-1.682058642186120834e-01,-1.553613533454522300e-01
-1.661897263948182990e-01,-1.690284537099066009e-01
-1.361666463098113733e-01,-1.732943231221624469e-01
-2.642029209163661574e-01,-2.074827537905553076e-01
-2.185995528042051494e-01,-1.919399712750365083e-01
-2.150031846112015754e-01,-1.730244943697093196e-01
-1.797867205978649352e-01,-1.774549039277667495e-01
-1.528869372552473238e-01,-1.199300677036122115e-01
-3.296829957262978894e-01,-1.990799610794136421e-01
-1.371263735701551689e-01,-1.652854817202945581e-01
-1.851331307345629174e-01,-1.757124091431204460e-01
-1.679457804787316821e-01,-1.226801802793566626e-01
-2.339045792295320059e-01,-2.239627640269313547e-01
-1.226658698334174707e-01,-1.354493264039276501e-01
-1.634165018448984485e-01,-1.900406575475896420e-01
-1.448189024379059331e-01,-2.097093916452559825e-01
-3.173269473107815375e-01,-1.992245860987898187e-01
-2.147829682962635323e-01,-1.916292950651551641e-01
-2.071070104114434152e-01,-1.748276042464846636e-01
-1.697438823094108984e-01,-1.977421949448874283e-01
-1.927557940554634475e-01,-1.825997096510453832e-01
-1.472548842353803566e-01,-1.362247771528575790e-01
-2.441587857599685218e-01,-2.159783659217686114e-01
-2.185981903408094618e-01,-1.991248884958858045e-01
-1.058766059986849806e-01,-1.752381069878908293e-01
-1.796628446310586658e-01,-1.687148351999290252e-01
-2.317088795447563854e-01,-1.877303027230441679e-01
-2.045628827628518387e-01,-1.742546441851859917e-01
-8.862198632235379625e-02,-1.195019083035367691e-01
-2.183121680559510225e-01,-2.031238993953627114e-01
-9.229363666869297433e-02,-1.326256746861108060e-01
-2.185134044193156322e-01,-2.569820377334368633e-01
-2.369738028864646906e-01,-1.504269799346001357e-01
-1.452092254874842170e-01,-1.275530094786877233e-01
-1.954333776271831857e-01,-1.725215425570245098e-01
-1.884486184421930166e-01,-1.563211447036629287e-01
-1.747363730081616662e-01,-1.900061456087936418e-01
-1.464274091908909781e-01,-1.025731114739257405e-01
-2.658806101265827060e-01,-1.785215227108581937e-01
-2.580763343072579041e-01,-1.811695433482931605e-01
-1.630173319821771327e-01,-1.471361136697032779e-01
-1.764723584540361379e-01,-1.545326222522599435e-01
-1.394716421004957851e-01,-1.165778408299750629e-01
-2.275918732176919479e-01,-2.362538327395362903e-01
-2.166710800374323509e-01,-1.823145503034800663e-01
