alpha_over_ac,delta_phys,delta_unst
9.282214765100672560e-01,3.520462912530000210e-01,6.378452065400000426e-02
9.348993288590604633e-01,3.429212989700000103e-01,6.804928235599999597e-02
9.415771812080537817e-01,3.334163285010000033e-01,7.269356831499999838e-02
9.482550335570471001e-01,3.234654990629999838e-01,7.778342646399999394e-02
9.549328859060404184e-01,3.129809356609999926e-01,8.340692472199999485e-02
9.616107382550335148e-01,3.018408122980000274e-01,8.968605169000000432e-02
9.682885906040268331e-01,2.898674977310000123e-01,9.679858635499999364e-02
9.749664429530201515e-01,2.767832277480000158e-01,1.050224308019999941e-01
9.816442953020134699e-01,2.621068136110000224e-01,1.148389919029999956e-01
9.883221476510067882e-01,2.448510842040000079e-01,1.272355143420000056e-01
9.950000000000001066e-01,2.221442541810000060e-01,1.450840230509999884e-01
