t_ps,A_um_inv,Delta_fold_meV,lorentzian,folded_out
1.400000000000000133e+00,1.375088740353655137e+00,2.444591875607999842e-01,5.171945343089859870e-01,0.000000000000000000e+00
1.450000000000000178e+00,1.374762669796388614e+00,2.445982063769999992e-01,5.234128980369721074e-01,0.000000000000000000e+00
1.500000000000000000e+00,1.374463145825561838e+00,2.447258256366000029e-01,5.291839091587199340e-01,0.000000000000000000e+00
1.550000000000000044e+00,1.374188260673230300e+00,2.448428741405999920e-01,5.345293483922906042e-01,0.000000000000000000e+00
1.600000000000000089e+00,1.373936199297880689e+00,2.449501490795999992e-01,5.394723178402333064e-01,0.000000000000000000e+00
1.650000000000000133e+00,1.373705245006074049e+00,2.450483888501999996e-01,5.440356038929095028e-01,0.000000000000000000e+00
1.700000000000000178e+00,1.373493778111668284e+00,2.451382995191999925e-01,5.482425406194789685e-01,0.000000000000000000e+00
1.750000000000000000e+00,1.373300278282677311e+00,2.452205370630000103e-01,5.521158765589722073e-01,0.000000000000000000e+00
1.800000000000000044e+00,1.373123322063785290e+00,2.452957148549999855e-01,5.556778445999911442e-01,0.000000000000000000e+00
1.850000000000000089e+00,1.372961580699220585e+00,2.453644048109999976e-01,5.589499767341223890e-01,0.000000000000000000e+00
1.900000000000000133e+00,1.372813817166855355e+00,2.454271388105999929e-01,5.619529644729701623e-01,0.000000000000000000e+00
1.950000000000000178e+00,1.372678882616742646e+00,2.454844103519999987e-01,5.647065598498051120e-01,0.000000000000000000e+00
2.000000000000000000e+00,1.372555712386137605e+00,2.455366736837999719e-01,5.672293806020228812e-01,0.000000000000000000e+00
2.050000000000000266e+00,1.372443321181194165e+00,2.455843513451999860e-01,5.695391438322962019e-01,0.000000000000000000e+00
2.100000000000000089e+00,1.372340799253752186e+00,2.456278350317999959e-01,5.716526006213481503e-01,0.000000000000000000e+00
2.149999999999999911e+00,1.372247308296947965e+00,2.456674773497999897e-01,5.735850417137132728e-01,0.000000000000000000e+00
2.200000000000000178e+00,1.372162075227653322e+00,2.457036144726000015e-01,5.753513225877783244e-01,0.000000000000000000e+00
2.250000000000000000e+00,1.372084390343548899e+00,2.457365429357999953e-01,5.769646672052353154e-01,0.000000000000000000e+00
2.300000000000000266e+00,1.372013600369585307e+00,2.457665467547999749e-01,5.784379387407911910e-01,0.000000000000000000e+00
2.350000000000000089e+00,1.371949106929253315e+00,2.457938764787999941e-01,5.797825685421543751e-01,0.000000000000000000e+00
2.400000000000000355e+00,1.371890360439413703e+00,2.458187678723999792e-01,5.810094345177030384e-01,0.000000000000000000e+00
2.450000000000000178e+00,1.371836857755315719e+00,2.458414362317999924e-01,5.821285513064741179e-01,0.000000000000000000e+00
2.500000000000000000e+00,1.371788138490705800e+00,2.458620746429999726e-01,5.831489571465245936e-01,0.000000000000000000e+00
2.550000000000000266e+00,1.371743780853061256e+00,2.458808629817999802e-01,5.840791363249058232e-01,0.000000000000000000e+00
