# ell  K  y  Kinv
0.000000000000000000e+00 3.548050793839242090e+01 5.236169124631691087e-06 2.818448940292450633e-02
5.000000000000000278e-02 3.548050791884229938e+01 2.200249209008992010e-08 2.818448941845444825e-02
1.000000000000000056e-01 3.548050791884197253e+01 1.046249978163459477e-10 2.818448941845470498e-02
1.500000000000000222e-01 3.548050791884197253e+01 9.813116041469656550e-12 2.818448941845470498e-02
2.000000000000000111e-01 3.548050791884197253e+01 7.546508490888088427e-12 2.818448941845470498e-02
2.500000000000000000e-01 3.548050791884197253e+01 6.799645568074723269e-11 2.818448941845470498e-02
