# L  K_lat  g_half  eta_eff
1.600000000000000000e+01 1.399999999999999911e+00 6.250530250782136976e-01 2.259831706255608086e-01
1.600000000000000000e+01 1.100000000000000089e+00 4.905192015646289150e-01 3.425394941599453347e-01
1.600000000000000000e+01 9.000000000000000222e-01 2.548441318655280674e-01 6.574376537622953487e-01
1.600000000000000000e+01 6.999999999999999556e-01 2.020869088006871719e-02 1.876293440960560055e+00
1.600000000000000000e+01 5.000000000000000000e-01 -3.794958151184804011e-03 1.771694983939926971e+01
