# a_over_ac alpha delta_phys
0.66333333 0.12059108 0.601562824834
0.66787671 0.12141705 0.598141231074
0.67242009 0.12224302 0.594702740533
0.67696347 0.12306898 0.591247028208
0.68150685 0.12389495 0.587773753505
0.68605023 0.12472091 0.58428256776
0.69059361 0.12554688 0.580773108443
0.69513699 0.12637285 0.577244999924
0.69968037 0.12719881 0.573697851458
0.70422374 0.12802478 0.57013126202
0.70876712 0.12885075 0.566544809549
0.71331050 0.12967671 0.562938061179
0.71785388 0.13050268 0.559310564388
0.72239726 0.13132864 0.555661849431
0.72694064 0.13215461 0.551991427816
0.73148402 0.13298058 0.548298788983
0.73602740 0.13380654 0.544583405229
0.74057078 0.13463251 0.540844723495
0.74511416 0.13545848 0.537082167126
0.74965753 0.13628444 0.533295135226
0.75420091 0.13711041 0.529482999858
0.75874429 0.13793638 0.525645102866
0.76328767 0.13876234 0.521780757188
0.76783105 0.13958831 0.517889243782
0.77237443 0.14041427 0.513969806172
0.77691781 0.14124024 0.510021654116
0.78146119 0.14206621 0.506043954311
0.78600457 0.14289217 0.502035833685
0.79054795 0.14371814 0.497996372141
0.79509132 0.14454411 0.493924596578
0.79963470 0.14537007 0.489819487721
0.80417808 0.14619604 0.485679964043
0.80872146 0.14702200 0.481504884579
0.81326484 0.14784797 0.477293035341
0.81780822 0.14867394 0.473043138005
0.82235160 0.14949990 0.468753830916
0.82689498 0.15032587 0.464423661063
0.83143836 0.15115184 0.460051090669
0.83598174 0.15197780 0.455634473807
0.84052511 0.15280377 0.451172046898
0.84506849 0.15362974 0.446661930859
0.84961187 0.15445570 0.442102103175
0.85415525 0.15528167 0.437490390787
0.85869863 0.15610763 0.432824449353
0.86324201 0.15693360 0.428101754624
0.86778539 0.15775957 0.423319563373
0.87232877 0.15858553 0.418474905884
0.87687215 0.15941150 0.41356454051
0.88141553 0.16023747 0.4085849343
0.88595890 0.16106343 0.40353221091
0.89050228 0.16188940 0.398402108909
0.89504566 0.16271536 0.393189922824
0.89958904 0.16354133 0.387890442811
0.90413242 0.16436730 0.382497858411
0.90867580 0.16519326 0.377005671395
0.91321918 0.16601923 0.371406570914
0.91776256 0.16684520 0.365692287191
0.92230594 0.16767116 0.359853397
0.92684932 0.16849713 0.353879082349
0.93139269 0.16932310 0.347756827096
0.93593607 0.17014906 0.341472021341
0.94047945 0.17097503 0.335007436304
0.94502283 0.17180099 0.328342479564
0.94956621 0.17262696 0.321452248605
0.95410959 0.17345293 0.314306099322
0.95865297 0.17427889 0.3068656208
0.96319635 0.17510486 0.299081519433
0.96773973 0.17593083 0.290888809155
0.97228311 0.17675679 0.282198625426
0.97682648 0.17758276 0.272883893253
0.98136986 0.17840872 0.26275114335
0.98591324 0.17923469 0.251478620059
0.99045662 0.18006066 0.238451157967
0.99500000 0.18088662 0.222144254181
