# ell  K  y  alpha  alpha_over_ac
0.000000000000000000e+00 8.058929919900157390e-01 4.466888588307679764e-01 1.637911409695762543e-01 9.000000000000000222e-01
7.142857142857143501e-03 8.058929919900157390e-01 4.466888588307679764e-01 1.637911409695762543e-01 9.000000000000000222e-01
1.428571428571428700e-02 8.058929919900157390e-01 4.466888588307679764e-01 1.637911409695762543e-01 9.000000000000000222e-01
2.142857142857142877e-02 8.058929919900157390e-01 4.466888588307679764e-01 1.637911409695762543e-01 9.000000000000000222e-01
2.857142857142857401e-02 8.058929919900157390e-01 4.466888588307679764e-01 1.637911409695762543e-01 9.000000000000000222e-01
3.571428571428571924e-02 8.058929919900157390e-01 4.466888588307679764e-01 1.637911409695762543e-01 9.000000000000000222e-01
4.285714285714285754e-02 8.058929919900157390e-01 4.466888588307679764e-01 1.637911409695762543e-01 9.000000000000000222e-01
5.000000000000000278e-02 8.058929919900157390e-01 4.466888588307679764e-01 1.637911409695762543e-01 9.000000000000000222e-01
