# T_K  primary_kt  primary_alpha_or_fold  conv_kt  conv_alpha_or_fold
2.000000000000000042e-02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000278e-02 0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.186616130102351591e-01 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 9.446205316801584706e-01
2.500000000000000000e-01 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 8.060769938005942770e-01
5.000000000000000000e-01 1.000000000000000000e+00 8.186718608805545472e-01 1.000000000000000000e+00 5.415847851214261599e-01
1.000000000000000000e+00 1.000000000000000000e+00 3.022823106021789163e-01 1.000000000000000000e+00 5.038496900297124992e-02
