# alpha_over_ac  plasma_conv
5.500683129723831807e-06 0.000000000000000000e+00
1.260036776309010793e-02 0.000000000000000000e+00
2.519523484305049091e-02 0.000000000000000000e+00
3.779010192301087562e-02 0.000000000000000000e+00
5.038496900297124992e-02 0.000000000000000000e+00
6.297983608293163116e-02 0.000000000000000000e+00
7.557470316289202628e-02 0.000000000000000000e+00
8.816957024285240752e-02 0.000000000000000000e+00
1.007644373228128026e-01 0.000000000000000000e+00
1.133593044027731839e-01 0.000000000000000000e+00
1.259541714827335512e-01 0.000000000000000000e+00
1.385490385626939325e-01 0.000000000000000000e+00
1.511439056426543415e-01 0.000000000000000000e+00
1.637387727226147227e-01 0.000000000000000000e+00
1.763336398025751039e-01 0.000000000000000000e+00
1.889285068825354574e-01 0.000000000000000000e+00
2.015233739624958664e-01 0.000000000000000000e+00
2.141182410424562754e-01 0.000000000000000000e+00
2.267131081224166289e-01 0.000000000000000000e+00
2.393079752023769824e-01 0.000000000000000000e+00
2.519028422823373914e-01 0.000000000000000000e+00
2.644977093622977726e-01 0.000000000000000000e+00
2.770925764422581539e-01 0.000000000000000000e+00
2.896874435222185351e-01 0.000000000000000000e+00
3.022823106021789163e-01 0.000000000000000000e+00
3.148771776821393531e-01 0.000000000000000000e+00
3.274720447620996788e-01 0.000000000000000000e+00
3.400669118420600601e-01 0.000000000000000000e+00
3.526617789220204413e-01 0.000000000000000000e+00
3.652566460019808781e-01 0.000000000000000000e+00
3.778515130819412038e-01 0.000000000000000000e+00
3.904463801619015850e-01 0.000000000000000000e+00
4.030412472418620218e-01 0.000000000000000000e+00
4.156361143218224030e-01 0.000000000000000000e+00
4.282309814017827843e-01 0.000000000000000000e+00
4.408258484817431100e-01 0.000000000000000000e+00
4.534207155617035467e-01 0.000000000000000000e+00
4.660155826416639280e-01 0.000000000000000000e+00
4.786104497216242537e-01 0.000000000000000000e+00
4.912053168015846349e-01 0.000000000000000000e+00
5.038001838815450162e-01 0.000000000000000000e+00
5.163950509615055084e-01 0.000000000000000000e+00
5.289899180414658897e-01 0.000000000000000000e+00
5.415847851214261599e-01 0.000000000000000000e+00
5.541796522013865411e-01 0.000000000000000000e+00
5.667745192813470334e-01 0.000000000000000000e+00
5.793693863613073036e-01 0.000000000000000000e+00
5.919642534412676849e-01 0.000000000000000000e+00
6.045591205212281771e-01 0.000000000000000000e+00
6.171539876011885584e-01 0.000000000000000000e+00
6.297488546811489396e-01 0.000000000000000000e+00
6.423437217611092098e-01 0.000000000000000000e+00
6.549385888410697021e-01 0.000000000000000000e+00
6.675334559210300833e-01 0.000000000000000000e+00
6.801283230009903535e-01 0.000000000000000000e+00
6.927231900809508458e-01 0.000000000000000000e+00
7.053180571609112270e-01 0.000000000000000000e+00
7.179129242408714973e-01 0.000000000000000000e+00
7.305077913208319895e-01 0.000000000000000000e+00
7.431026584007923708e-01 0.000000000000000000e+00
7.556975254807526410e-01 0.000000000000000000e+00
7.682923925607131332e-01 0.000000000000000000e+00
7.808872596406734035e-01 0.000000000000000000e+00
7.934821267206338957e-01 0.000000000000000000e+00
8.060769938005942770e-01 0.000000000000000000e+00
8.186718608805545472e-01 0.000000000000000000e+00
8.312667279605150394e-01 0.000000000000000000e+00
8.438615950404754207e-01 0.000000000000000000e+00
8.564564621204359129e-01 0.000000000000000000e+00
8.690513292003961832e-01 0.000000000000000000e+00
8.816461962803565644e-01 0.000000000000000000e+00
8.942410633603169456e-01 0.000000000000000000e+00
9.068359304402773269e-01 0.000000000000000000e+00
9.194307975202377081e-01 0.000000000000000000e+00
9.320256646001980894e-01 0.000000000000000000e+00
9.446205316801584706e-01 1.000000000000000000e+00
9.572153987601187408e-01 1.000000000000000000e+00
9.698102658400792331e-01 1.000000000000000000e+00
9.824051329200396143e-01 1.000000000000000000e+00
9.950000000000001066e-01 1.000000000000000000e+00
