# a_over_ac  alpha  delta_phys  delta_unst
0.52703196  0.09581209  0.697628604516  0.000484746019
0.53157534  0.09663806  0.694601751373  0.000530357381
0.53611872  0.09746403  0.691564382517  0.000579828332
0.54066210  0.09828999  0.688516357323  0.000629017568
0.54520548  0.09911596  0.685457530478  0.000687599196
0.54974886  0.09994192  0.682387755031  0.000745205834
0.55429224  0.10076789  0.679306878394  0.000811218423
0.55883562  0.10159386  0.676214746266  0.000877383884
0.56337900  0.10241982  0.673111199205  0.000952392678
0.56792237  0.10324579  0.669996073824  0.001029589954
0.57246575  0.10407176  0.666869202656  0.001112004096
0.57700913  0.10489772  0.663730414017  0.001201102521
0.58155251  0.10572369  0.660579531862  0.001294641269
0.58609589  0.10654966  0.657416375636  0.001393492996
0.59063927  0.10737562  0.654240759757  0.001498541223
0.59518265  0.10820159  0.651052492465  0.001610876913
0.59972603  0.10902755  0.647851379243  0.001729478876
0.60426941  0.10985352  0.644637218125  0.001854748935
0.60881279  0.11067949  0.641409801752  0.001986996928
0.61335616  0.11150545  0.638168917992  0.00212648859
0.61789954  0.11233142  0.634914347841  0.002274619542
0.62244292  0.11315739  0.631645866126  0.002430557045
0.62698630  0.11398335  0.628363240744  0.002594357702
0.63152968  0.11480932  0.625066232423  0.002766770129
0.63607306  0.11563528  0.621754596881  0.002948826603
0.64061644  0.11646125  0.618428078386  0.00313946034
0.64515982  0.11728722  0.615086417596  0.003340474767
0.64970320  0.11811318  0.611729344521  0.003551344924
0.65424658  0.11893915  0.608356580854  0.003772352762
0.65878995  0.11976512  0.604967839625  0.0040041635
0.66333333  0.12059108  0.601562824834  0.004247425143
0.66787671  0.12141705  0.598141231074  0.004502239695
0.67242009  0.12224302  0.594702740533  0.004769286969
0.67696347  0.12306898  0.591247028208  0.00504873391
0.68150685  0.12389495  0.587773753505  0.005340798886
0.68605023  0.12472091  0.58428256776  0.005646113345
0.69059361  0.12554688  0.580773108443  0.00596538878
0.69513699  0.12637285  0.577244999924  0.006298826823
0.69968037  0.12719881  0.573697851458  0.006646810884
0.70422374  0.12802478  0.57013126202  0.007010045518
0.70876712  0.12885075  0.566544809549  0.007389117703
0.71331050  0.12967671  0.562938061179  0.007784515956
0.71785388  0.13050268  0.559310564388  0.008196645694
0.72239726  0.13132864  0.555661849431  0.008625841734
0.72694064  0.13215461  0.551991427816  0.009073450395
0.73148402  0.13298058  0.548298788983  0.009539336812
0.73602740  0.13380654  0.544583405229  0.01002436548
0.74057078  0.13463251  0.540844723495  0.010529274349
0.74511416  0.13545848  0.537082167126  0.011054693962
0.74965753  0.13628444  0.533295135226  0.011601163066
0.75420091  0.13711041  0.529482999858  0.012169632247
0.75874429  0.13793638  0.525645102866  0.012760581463
0.76328767  0.13876234  0.521780757188  0.013375011729
0.76783105  0.13958831  0.517889243782  0.014013756296
0.77237443  0.14041427  0.513969806172  0.014677599959
0.77691781  0.14124024  0.510021654116  0.015367192542
0.78146119  0.14206621  0.506043954311  0.016083838151
0.78600457  0.14289217  0.502035833685  0.016828222401
0.79054795  0.14371814  0.497996372141  0.017601388438
0.79509132  0.14454411  0.493924596578  0.018404486039
0.79963470  0.14537007  0.489819487721  0.019238523931
0.80417808  0.14619604  0.485679964043  0.020104778717
0.80872146  0.14702200  0.481504884579  0.02100433634
0.81326484  0.14784797  0.477293035341  0.021938707092
0.81780822  0.14867394  0.473043138005  0.022908988816
0.82235160  0.14949990  0.468753830916  0.023916775973
0.82689498  0.15032587  0.464423661063  0.024963548233
0.83143836  0.15115184  0.460051090669  0.026050954341
0.83598174  0.15197780  0.455634473807  0.027180693516
0.84052511  0.15280377  0.451172046898  0.028354572421
0.84506849  0.15362974  0.446661930859  0.02957465617
0.84961187  0.15445570  0.442102103175  0.030842922146
0.85415525  0.15528167  0.437490390787  0.032161683661
0.85869863  0.15610763  0.432824449353  0.033533329778
0.86324201  0.15693360  0.428101754624  0.034960479206
0.86778539  0.15775957  0.423319563373  0.036445928867
0.87232877  0.15858553  0.418474905884  0.037992664575
0.87687215  0.15941150  0.41356454051  0.039604123225
0.88141553  0.16023747  0.4085849343  0.041283825942
0.88595890  0.16106343  0.40353221091  0.043035712856
0.89050228  0.16188940  0.398402108909  0.044864092783
0.89504566  0.16271536  0.393189922824  0.046773807078
0.89958904  0.16354133  0.387890442811  0.048770071134
0.90413242  0.16436730  0.382497858411  0.050858776272
0.90867580  0.16519326  0.377005671395  0.053046506617
0.91321918  0.16601923  0.371406570914  0.055340575223
0.91776256  0.16684520  0.365692287191  0.05774931344
0.92230594  0.16767116  0.359853397  0.060282314184
0.92684932  0.16849713  0.353879082349  0.062950349988
0.93139269  0.16932310  0.347756827096  0.06576597982
0.93593607  0.17014906  0.341472021341  0.068743923895
0.94047945  0.17097503  0.335007436304  0.071901488987
0.94502283  0.17180099  0.328342479564  0.075259239607
0.94956621  0.17262696  0.321452248605  0.078842223875
0.95410959  0.17345293  0.314306099322  0.082681077967
0.95865297  0.17427889  0.3068656208  0.086814277739
0.96319635  0.17510486  0.299081519433  0.091291153258
0.96773973  0.17593083  0.290888809155  0.096176778705
0.97228311  0.17675679  0.282198625426  0.101560033259
0.97682648  0.17758276  0.272883893253  0.107568069416
0.98136986  0.17840872  0.26275114335  0.114394362533
0.98591324  0.17923469  0.251478620059  0.122360748143
0.99045662  0.18006066  0.238451157967  0.132082462319
0.99500000  0.18088662  0.222144254181  0.145084023051
