# lambda  alpha  delta_phys  Delta_meV  red_pct
0.58727987  0.12597241  0.57895781  0.34737468  42.104219
0.59248428  0.12708876  0.57417157  0.34450294  42.582843
0.59768868  0.12820512  0.56934992  0.34160995  43.065008
0.60289308  0.12932147  0.56449182  0.33869509  43.550818
0.60809748  0.13043782  0.55959617  0.33575770  44.040383
0.61330189  0.13155417  0.55466182  0.33279709  44.533818
0.61850629  0.13267053  0.54968757  0.32981254  45.031243
0.62371069  0.13378688  0.54467214  0.32680328  45.532786
0.62891509  0.13490323  0.53961416  0.32376850  46.038584
0.63411950  0.13601958  0.53451222  0.32070733  46.548778
0.63932390  0.13713593  0.52936479  0.31761887  47.063521
0.64452830  0.13825229  0.52417025  0.31450215  47.582975
0.64973270  0.13936864  0.51892691  0.31135614  48.107309
0.65493711  0.14048499  0.51363292  0.30817975  48.636708
0.66014151  0.14160134  0.50828634  0.30497181  49.171366
0.66534591  0.14271769  0.50288510  0.30173106  49.711490
0.67055031  0.14383405  0.49742696  0.29845617  50.257304
0.67575472  0.14495040  0.49190953  0.29514572  50.809047
0.68095912  0.14606675  0.48633024  0.29179814  51.366976
0.68616352  0.14718310  0.48068632  0.28841179  51.931368
0.69136792  0.14829945  0.47497479  0.28498487  52.502521
0.69657233  0.14941581  0.46919239  0.28151544  53.080761
0.70177673  0.15053216  0.46333563  0.27800138  53.666437
0.70698113  0.15164851  0.45740065  0.27444039  54.259935
0.71218553  0.15276486  0.45138330  0.27082998  54.861670
0.71738994  0.15388122  0.44527897  0.26716738  55.472103
0.72259434  0.15499757  0.43908264  0.26344958  56.091736
0.72779874  0.15611392  0.43278873  0.25967324  56.721127
0.73300314  0.15723027  0.42639108  0.25583465  57.360892
0.73820755  0.15834662  0.41988282  0.25192969  58.011718
0.74341195  0.15946298  0.41325626  0.24795376  58.674374
0.74861635  0.16057933  0.40650275  0.24390165  59.349725
0.75382075  0.16169568  0.39961249  0.23976749  60.038751
0.75902516  0.16281203  0.39257431  0.23554459  60.742569
0.76422956  0.16392838  0.38537541  0.23122525  61.462459
0.76943396  0.16504474  0.37800095  0.22680057  62.199905
0.77463836  0.16616109  0.37043359  0.22226015  62.956641
0.77984277  0.16727744  0.36265287  0.21759172  63.734713
0.78504717  0.16839379  0.35463434  0.21278061  64.536566
0.79025157  0.16951015  0.34634836  0.20780902  65.365164
0.79545597  0.17062650  0.33775844  0.20265506  66.224156
0.80066038  0.17174285  0.32881872  0.19729123  67.118128
0.80586478  0.17285920  0.31947029  0.19168217  68.052971
0.81106918  0.17397555  0.30963520  0.18578112  69.036480
0.81627358  0.17509191  0.29920656  0.17952393  70.079344
0.82147799  0.17620826  0.28803069  0.17281842  71.196931
0.82668239  0.17732461  0.27587216  0.16552329  72.412784
0.83188679  0.17844096  0.26233526  0.15740116  73.766474
0.83709119  0.17955731  0.24665031  0.14799018  75.334969
0.84229560  0.18067367  0.22683677  0.13610206  77.316323
0.84750000  0.18179002  0.18482876  0.11089726  81.517124
