# alpha_over_ac  K_primary  K_conv  kappa_primary  kappa_conv  delta
2.267131081224166289e-01 3.823198801737807884e+01 2.889324885267795651e+01 3.909399183261946797e-01 2.954469524710574557e-01 8.794761581990000465e-01
2.393079752023769824e-01 3.777091147014314743e+01 2.843217230544302510e+01 3.862251954706577006e-01 2.907322296155204766e-01 8.724306260490000131e-01
2.519028422823373914e-01 3.731082521743049085e+01 2.797208605273036852e+01 3.815205988387291303e-01 2.860276329835919062e-01 8.653430487890000355e-01
2.644977093622977726e-01 3.685173553074221076e+01 2.751299636604209553e+01 3.768261925594445505e-01 2.813332267043073265e-01 8.582124825400000434e-01
2.770925764422581539e-01 3.639364864737878946e+01 2.705490948267867424e+01 3.721420404121119074e-01 2.766490745569746834e-01 8.510379448310000372e-01
2.896874435222185351e-01 3.593657074478441871e+01 2.659783158008429993e+01 3.674682055639807987e-01 2.719752397088435747e-01 8.438184120549999667e-01
3.022823106021789163e-01 3.548050793839242090e+01 2.614176877369229857e+01 3.628047505482107082e-01 2.673117846930734842e-01 8.365528171260000478e-01
3.148771776821393531e-01 3.502546626538360641e+01 2.568672710068348408e+01 3.581517370977926884e-01 2.626587712426554644e-01 8.292400467380000029e-01
3.274720447620996788e-01 3.457145164936646609e+01 2.523271248466634376e+01 3.535092257843877595e-01 2.580162599292505354e-01 8.218789381150000128e-01
3.400669118420600601e-01 3.411846990816614067e+01 2.477973074346601834e+01 3.488772760979728660e-01 2.533843102428356420e-01 8.144682762360000439e-01
3.526617789220204413e-01 3.366652675648197146e+01 2.432778759178185624e+01 3.442559464740155284e-01 2.487629806188783321e-01 8.070067907589999479e-01
3.652566460019808781e-01 3.321562771066631825e+01 2.387688854596619947e+01 3.396452933197927626e-01 2.441523274646555386e-01 7.994931510649999629e-01
3.778515130819412038e-01 3.276577812814433344e+01 2.342703896344421821e+01 3.350453714174768671e-01 2.395524055623396709e-01 7.919259632189999953e-01
3.904463801619015850e-01 3.231698318659643121e+01 2.297824402189631599e+01 3.304562337112661452e-01 2.349632678561289212e-01 7.843037656419999948e-01
4.030412472418620218e-01 3.186924781640101756e+01 2.253050865170089878e+01 3.258779306165805467e-01 2.303849647614433227e-01 7.766250236289999886e-01
4.156361143218224030e-01 3.142257664167635411e+01 2.208383747697623889e+01 3.213105094171871956e-01 2.258175435620499993e-01 7.688881235840000494e-01
4.282309814017827843e-01 3.097697403665537763e+01 2.163823487195525885e+01 3.167540148416590484e-01 2.212610489865218244e-01 7.610913688149999468e-01
4.408258484817431100e-01 3.053244402584000383e+01 2.119370486113988861e+01 3.122084880424062514e-01 2.167155221872690551e-01 7.532329721620000251e-01
4.534207155617035467e-01 3.008899020085177156e+01 2.075025103615165278e+01 3.076739657454349852e-01 2.121809998902977890e-01 7.453110483139999687e-01
4.660155826416639280e-01 2.964661575910109548e+01 2.030787659440098025e+01 3.031504806457588908e-01 2.076575147906216945e-01 7.373236076789999593e-01
4.786104497216242537e-01 2.920532336712333787e+01 1.986658420242321554e+01 2.986380600099463045e-01 2.031450941548090805e-01 7.292685464500000547e-01
4.912053168015846349e-01 2.876511510098893254e+01 1.942637593628881376e+01 2.941367250667862865e-01 1.986437592116490625e-01 7.211436372299999675e-01
5.038001838815450162e-01 2.832599240231269278e+01 1.898725323761257755e+01 2.896464905574629434e-01 1.941535247023257471e-01 7.129465190749999515e-01
5.163950509615055084e-01 2.788795599607150066e+01 1.854921683137138544e+01 2.851673638952032519e-01 1.896743980400660556e-01 7.046746858519999934e-01
5.289899180414658897e-01 2.745100573684525003e+01 1.811226657214513480e+01 2.806993435930187353e-01 1.852063777378815390e-01 6.963254720910000417e-01
5.415847851214261599e-01 2.701514054795771003e+01 1.767640138325759125e+01 2.762424186413925398e-01 1.807494527862553158e-01 6.878960392709999594e-01
5.541796522013865411e-01 2.658035824694474414e+01 1.724161908224462536e+01 2.717965667236104110e-01 1.763036008684731870e-01 6.793833584520000413e-01
5.667745192813470334e-01 2.614665540831786572e+01 1.680791624361775050e+01 2.673617528124540565e-01 1.718687869573168603e-01 6.707841918770000023e-01
5.793693863613073036e-01 2.571402725801752709e+01 1.637528809331741186e+01 2.629379280909368566e-01 1.674449622357996603e-01 6.620950732589999665e-01
5.919642534412676849e-01 2.528246735262807476e+01 1.594372818792795954e+01 2.585250266721269008e-01 1.630320608169897045e-01 6.533122814820000457e-01
6.045591205212281771e-01 2.485196745163023024e+01 1.551322828693011147e+01 2.541229642928691801e-01 1.586299984377319561e-01 6.444318154589999681e-01
6.171539876011885584e-01 2.442251718203348787e+01 1.508377801733337265e+01 2.497316348844952349e-01 1.542386690293580387e-01 6.354493616869999473e-01
6.297488546811489396e-01 2.399410377097505176e+01 1.465536460627493298e+01 2.453509078385225362e-01 1.498579419833853121e-01 6.263602594999999607e-01
6.423437217611092098e-01 2.356671158961736623e+01 1.422797242491724568e+01 2.409806233427939648e-01 1.454876574876567408e-01 6.171594580220000070e-01
6.549385888410697021e-01 2.314032186842762684e+01 1.380158270372751161e+01 2.366205894700778578e-01 1.411276236149406615e-01 6.078414716350000191e-01
6.675334559210300833e-01 2.271491204541248266e+01 1.337617288071236565e+01 2.322705755134636396e-01 1.367776096583264434e-01 5.984003214669999515e-01
6.801283230009903535e-01 2.229045518494984179e+01 1.295171602024972479e+01 2.279303060436460582e-01 1.324373401885088619e-01 5.888294709260000204e-01
6.927231900809508458e-01 2.186691934195815179e+01 1.252818017725803479e+01 2.235994544072591461e-01 1.281064885521219221e-01 5.791217512409999602e-01
7.053180571609112270e-01 2.144426644186174968e+01 1.210552727716163091e+01 2.192776312739992961e-01 1.237846654188620860e-01 5.692692651599999820e-01
7.179129242408714973e-01 2.102245152533364347e+01 1.168371236063352470e+01 2.149643769137679628e-01 1.194714110586307526e-01 5.592632857129999913e-01
7.305077913208319895e-01 2.060142115979332900e+01 1.126268199509321022e+01 2.106591449534952754e-01 1.151661790983580652e-01 5.490941192830000039e-01
7.431026584007923708e-01 2.018111207099457616e+01 1.084237290629445738e+01 2.063612883844868073e-01 1.108683225293495833e-01 5.387509532659999767e-01
7.556975254807526410e-01 1.976144882483770360e+01 1.042270966013758482e+01 2.020700358578721711e-01 1.065770700027349610e-01 5.282216549910000447e-01
7.682923925607131332e-01 1.934234177971537960e+01 1.000360261501526260e+01 1.977844707463854712e-01 1.022915048912482611e-01 5.174925444639999483e-01
