# ell  K  y  alpha  alpha_over_ac
6.666666666666666297e-01 4.271214658442996637e+00 6.758666175290702546e-06 3.704064328193427957e-02 2.035310258931099792e-01
6.999999999999999556e-01 4.271214656034933554e+00 4.619402952128590500e-06 3.704064336494127668e-02 2.035310263492170479e-01
7.333333333333332815e-01 4.271214654908324526e+00 3.156999176283291852e-06 3.704064340377598297e-02 2.035310265626061044e-01
7.666666666666666075e-01 4.271214654382630371e+00 2.157674250751294172e-06 3.704064342189687664e-02 2.035310266621768449e-01
8.000000000000000444e-01 4.271214654137206246e+00 1.474723939321505498e-06 3.704064343035676221e-02 2.035310267086622438e-01
8.333333333333333703e-01 4.271214654022385204e+00 1.007858009049706597e-06 3.704064343431470729e-02 2.035310267304103748e-01
8.666666666666666963e-01 4.271214653968807617e+00 6.888279512445395103e-07 3.704064343616155636e-02 2.035310267405584517e-01
9.000000000000000222e-01 4.271214653943794737e+00 4.707990881621036112e-07 3.704064343702376250e-02 2.035310267452961064e-01
9.333333333333333481e-01 4.271214653932092098e+00 3.217542070162013516e-07 3.704064343742714815e-02 2.035310267475126111e-01
9.666666666666666741e-01 4.271214653926631577e+00 2.199052735947488100e-07 3.704064343761537259e-02 2.035310267485468672e-01
1.000000000000000000e+00 4.271214653924082505e+00 1.503005243961238888e-07 3.704064343770324674e-02 2.035310267490297309e-01
1.033333333333333215e+00 4.271214653922890570e+00 1.027186059982616849e-07 3.704064343774435969e-02 2.035310267492556335e-01
1.066666666666666652e+00 4.271214653922333682e+00 7.020378494754729827e-08 3.704064343776354573e-02 2.035310267493610492e-01
1.100000000000000089e+00 4.271214653922073445e+00 4.798277694630198100e-08 3.704064343777250384e-02 2.035310267494102876e-01
1.133333333333333304e+00 4.271214653921951765e+00 3.279246017040176827e-08 3.704064343777669494e-02 2.035310267494332970e-01
1.166666666666666741e+00 4.271214653921894921e+00 2.241224751183843052e-08 3.704064343777864476e-02 2.035310267494440106e-01
1.199999999999999956e+00 4.271214653921869164e+00 1.531828909266610726e-08 3.704064343777956070e-02 2.035310267494490621e-01
1.233333333333333393e+00 4.271214653921856730e+00 1.046884771825766157e-08 3.704064343777998397e-02 2.035310267494513936e-01
1.266666666666666607e+00 4.271214653921850513e+00 7.155010786202420932e-09 3.704064343778018520e-02 2.035310267494524761e-01
1.300000000000000044e+00 4.271214653921847848e+00 4.890295969928922019e-09 3.704064343778027540e-02 2.035310267494529757e-01
1.333333333333333259e+00 4.271214653921846960e+00 3.342133282424214962e-09 3.704064343778032398e-02 2.035310267494532532e-01
1.366666666666666696e+00 4.271214653921846960e+00 2.284205514133810678e-09 3.704064343778034479e-02 2.035310267494533643e-01
1.399999999999999911e+00 4.271214653921846072e+00 1.561205336237771594e-09 3.704064343778035173e-02 2.035310267494533920e-01
1.433333333333333348e+00 4.271214653921846072e+00 1.066961252861422662e-09 3.704064343778035867e-02 2.035310267494534475e-01
1.466666666666666563e+00 4.271214653921846072e+00 7.292224968913852179e-10 3.704064343778035867e-02 2.035310267494534475e-01
1.500000000000000000e+00 4.271214653921846072e+00 4.984078912370434857e-10 3.704064343778035867e-02 2.035310267494534475e-01
1.533333333333333215e+00 4.271214653921846072e+00 3.406226559228893354e-10 3.704064343778035867e-02 2.035310267494534475e-01
1.566666666666666652e+00 4.271214653921846072e+00 2.328010534438075440e-10 3.704064343778035867e-02 2.035310267494534475e-01
1.600000000000000089e+00 4.271214653921846072e+00 1.591145125381020564e-10 3.704064343778035867e-02 2.035310267494534475e-01
1.633333333333333304e+00 4.271214653921846072e+00 1.087422747703397190e-10 3.704064343778035867e-02 2.035310267494534475e-01
1.666666666666666741e+00 4.271214653921846072e+00 7.432070556734190307e-11 3.704064343778035867e-02 2.035310267494534475e-01
1.699999999999999956e+00 4.271214653921846072e+00 5.079660363603050025e-11 3.704064343778035867e-02 2.035310267494534475e-01
1.733333333333333393e+00 4.271214653921846072e+00 3.471548975563445686e-11 3.704064343778035867e-02 2.035310267494534475e-01
1.766666666666666607e+00 4.271214653921846072e+00 2.372655619172613325e-11 3.704064343778035867e-02 2.035310267494534475e-01
