# ell  K  y  alpha  alpha_over_ac
7.666666666666666963e+00 4.271214653921846072e+00 1.314022470850891160e-40 3.704064343778035867e-02 2.035310267494534475e-01
7.700000000000000178e+00 4.271214653921846072e+00 8.981060945414462889e-41 3.704064343778035867e-02 2.035310267494534475e-01
7.733333333333333393e+00 4.271214653921846072e+00 6.137849913731546093e-41 3.704064343778035867e-02 2.035310267494534475e-01
7.766666666666666607e+00 4.271214653921846072e+00 4.194958558834578809e-41 3.704064343778035867e-02 2.035310267494534475e-01
7.799999999999999822e+00 4.271214653921846072e+00 2.867163942484554372e-41 3.704064343778035867e-02 2.035310267494534475e-01
7.833333333333333037e+00 4.271214653921846072e+00 1.959481409155596398e-41 3.704064343778035867e-02 2.035310267494534475e-01
7.866666666666666252e+00 4.271214653921846072e+00 1.339221946405845187e-41 3.704064343778035867e-02 2.035310267494534475e-01
7.899999999999999467e+00 4.271214653921846072e+00 9.153293940490238256e-42 3.704064343778035867e-02 2.035310267494534475e-01
7.933333333333333570e+00 4.271214653921846072e+00 6.255557641180691202e-42 3.704064343778035867e-02 2.035310267494534475e-01
7.966666666666666785e+00 4.271214653921846072e+00 4.275431326671719293e-42 3.704064343778035867e-02 2.035310267494534475e-01
8.000000000000000000e+00 4.271214653921846072e+00 2.922135268113890224e-42 3.704064343778035867e-02 2.035310267494534475e-01
