# r  g_star  g_kt  g_plasma  # K(lambda*)=15.1411 eta=0.010511
1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.068241690814402123e+00 9.993063366909697987e-01 9.836319324441900047e-01 9.915060676718530086e-01
1.141140309994012947e+00 9.986131545507259677e-01 9.675317785238916057e-01 9.825121796263955876e-01
1.219013654204475383e+00 9.979204532454992727e-01 9.516951530106195767e-01 9.729946388047872041e-01
1.302201207093231838e+00 9.972282324417520716e-01 9.361177424536049063e-01 9.629294303801884114e-01
1.391065619245829499e+00 9.965364918061783150e-01 9.207953040049320359e-01 9.522923486586912789e-01
1.485994289136948421e+00 9.958452310057026580e-01 9.057236642639067137e-01 9.410591467713792513e-01
1.587401051968199361e+00 9.951544497074813478e-01 8.908987181403392741e-01 9.292057114288490016e-01
1.695727983755070056e+00 9.944641475789012253e-01 8.763164277364337007e-01 9.167082650457318849e-01
1.811447328527813205e+00 9.937743242875797245e-01 8.619728212469777162e-01 9.035435975324279667e-01
1.935063557047783211e+00 9.930849795013652059e-01 8.478639918775351392e-01 8.896893299812460576e-01
2.067115566014055439e+00 9.923961128883361793e-01 8.339860967803448544e-01 8.751242123292373165e-01
2.208179027347624501e+00 9.917077241168013035e-01 8.203353560076379614e-01 8.598284568429005459e-01
2.358868897794728525e+00 9.910198128552997199e-01 8.069080514820855532e-01 8.437841089212434476e-01
2.519842099789746381e+00 9.903323787726000527e-01 7.937005259840996807e-01 8.269754562320826841e-01
2.691800385264712325e+00 9.896454215377009644e-01 7.807091821557100575e-01 8.093894765590307072e-01
2.875493394890035415e+00 9.889589408198306009e-01 7.679304815207442791e-01 7.910163239193405138e-01
3.071721926082977117e+00 9.882729362884464797e-01 7.553609435210471013e-01 7.718498514913773034e-01
3.281341424030551401e+00 9.875874076132357127e-01 7.429971445684742104e-01 7.518881686415678223e-01
3.505265710945734803e+00 9.869023544641142287e-01 7.308357171124035823e-01 7.311342278432865216e-01
3.744470969814419181e+00 9.862177765112269956e-01 7.188733487225088536e-01 7.095964355178236982e-01
4.000000000000000000e+00 9.855336734249477981e-01 7.071067811865475727e-01 6.872892787909722356e-01
4.272966763257608491e+00 9.848500448758792380e-01 6.955328096229147494e-01 6.642339578488007934e-01
4.564561239976051787e+00 9.841668905348520680e-01 6.841482816077245621e-01 6.404590110078702825e-01
4.876054616817901532e+00 9.834842100729257464e-01 6.729500963161780813e-01 6.160009168220520470e-01
5.208804828372927354e+00 9.828020031613876606e-01 6.619352036779860837e-01 5.909046545872042033e-01
5.564262476983317995e+00 9.821202694717532378e-01 6.511006035466159192e-01 5.652242015619441950e-01
5.943977156547793683e+00 9.814390086757659448e-01 6.404433448821362784e-01 5.390229422172618801e-01
6.349604207872797446e+00 9.807582204453966224e-01 6.299605249474365953e-01 5.123739620182167220e-01
6.782911935020281113e+00 9.800779044528439288e-01 6.196492885176033694e-01 4.853601958285102547e-01
7.245789314111252821e+00 9.793980603705337851e-01 6.095068271022376916e-01 4.580743992588475200e-01
7.740254228191133734e+00 9.787186878711194860e-01 5.995303781805009224e-01 4.306189104415772961e-01
8.268462264056221755e+00 9.780397866274811447e-01 5.897172244486821313e-01 4.031051701340924720e-01
8.832716109390498005e+00 9.773613563127259152e-01 5.800646930800814616e-01 3.756529700858952103e-01
9.435475591178914101e+00 9.766833966001878808e-01 5.705701549970064734e-01 3.483894036122233140e-01
1.007936839915898553e+01 9.760059071634273886e-01 5.612310241546865086e-01 3.214474986464183615e-01
1.076720154105884575e+01 9.753288876762313819e-01 5.520447568369062363e-01 2.949645224864215209e-01
1.150197357956013988e+01 9.746523378126131787e-01 5.430088509631689764e-01 2.690799592020166608e-01
1.228688770433190847e+01 9.739762572468120272e-01 5.341208454072010614e-01 2.439331752703539913e-01
1.312536569612220916e+01 9.733006456532934392e-01 5.253783193266097218e-01 2.196608062869389588e-01
1.402106284378293566e+01 9.726255027067484127e-01 5.167788915035138597e-01 1.963939171126621863e-01
1.497788387925767672e+01 9.719508280820936541e-01 5.083202196959677455e-01 1.742550087896628241e-01
1.600000000000000000e+01 9.712766214544716892e-01 5.000000000000000000e-01 1.533549668449284697e-01
1.709186705303043752e+01 9.706028824992499748e-01 4.918159662220950024e-01 1.337900656732196603e-01
1.825824495990420360e+01 9.699296108920212323e-01 4.837658892619458584e-01 1.156391606701135388e-01
1.950421846727160613e+01 9.692568063086035579e-01 4.758475765053097883e-01 9.896121152412289124e-02
2.083521931349170941e+01 9.685844684250395353e-01 4.680588712268024532e-01 8.379328431149017653e-02
2.225704990793327553e+01 9.679125969175965682e-01 4.603976520024659624e-01 7.014917461588759950e-02
2.377590862619117118e+01 9.672411914627667695e-01 4.528618321319533568e-01 5.801877706819780905e-02
2.539841683149118978e+01 9.665702517372664060e-01 4.454493590701696371e-01 4.736829746327076568e-02
2.713164774008112445e+01 9.658997774180362317e-01 4.381582138682168504e-01 3.814136205329165391e-02
2.898315725644500418e+01 9.652297681822409325e-01 4.309864106234889136e-01 3.026102624191795085e-02
3.096101691276452783e+01 9.645602237072692375e-01 4.239319959387675696e-01 2.363262481701299683e-02
3.307384905622488702e+01 9.638911436707335856e-01 4.169930483901724272e-01 1.814734278484464447e-02
3.533086443756199913e+01 9.632225277504701255e-01 4.101676780038189807e-01 1.368632589158057938e-02
3.774190236471564930e+01 9.625543756245382720e-01 4.034540257410427766e-01 1.012509993829400524e-02
