# alpha_over_ac  K_primary  eta_sw  eta_sw  eta_sw
4.408258484817431100e-01 3.053244402584000383e+01 5.212649958752087892e-03 5.212649958752087892e-03 5.212649958752087892e-03
4.534207155617035467e-01 3.008899020085177156e+01 5.289474390117283702e-03 5.289474390117283702e-03 5.289474390117283702e-03
4.660155826416639280e-01 2.964661575910109548e+01 5.368401721975196716e-03 5.368401721975196716e-03 5.368401721975196716e-03
4.786104497216242537e-01 2.920532336712333787e+01 5.449518263888059391e-03 5.449518263888059391e-03 5.449518263888059391e-03
4.912053168015846349e-01 2.876511510098893254e+01 5.532915218073424998e-03 5.532915218073424998e-03 5.532915218073424998e-03
5.038001838815450162e-01 2.832599240231269278e+01 5.618689041196701060e-03 5.618689041196701060e-03 5.618689041196701060e-03
5.163950509615055084e-01 2.788795599607150066e+01 5.706941846663666357e-03 5.706941846663666357e-03 5.706941846663666357e-03
5.289899180414658897e-01 2.745100573684525003e+01 5.797781859710685569e-03 5.797781859710685569e-03 5.797781859710685569e-03
5.415847851214261599e-01 2.701514054795771003e+01 5.891323897033256228e-03 5.891323897033256228e-03 5.891323897033256228e-03
5.541796522013865411e-01 2.658035824694474414e+01 5.987689917993835494e-03 5.987689917993835494e-03 5.987689917993835494e-03
5.667745192813470334e-01 2.614665540831786572e+01 6.087009623466579575e-03 6.087009623466579575e-03 6.087009623466579575e-03
5.793693863613073036e-01 2.571402725801752709e+01 6.189421108366893222e-03 6.189421108366893222e-03 6.189421108366893222e-03
5.919642534412676849e-01 2.528246735262807476e+01 6.295071634903205704e-03 6.295071634903205704e-03 6.295071634903205704e-03
6.045591205212281771e-01 2.485196745163023024e+01 6.404118442600613588e-03 6.404118442600613588e-03 6.404118442600613588e-03
6.171539876011885584e-01 2.442251718203348787e+01 6.516729700940828568e-03 6.516729700940828568e-03 6.516729700940828568e-03
6.297488546811489396e-01 2.399410377097505176e+01 6.633085553477529803e-03 6.633085553477529803e-03 6.633085553477529803e-03
6.423437217611092098e-01 2.356671158961736623e+01 6.753379337065133943e-03 6.753379337065133943e-03 6.753379337065133943e-03
6.549385888410697021e-01 2.314032186842762684e+01 6.877818899703569411e-03 6.877818899703569411e-03 6.877818899703569411e-03
6.675334559210300833e-01 2.271491204541248266e+01 7.006628190930564749e-03 7.006628190930564749e-03 7.006628190930564749e-03
6.801283230009903535e-01 2.229045518494984179e+01 7.140049037641645752e-03 7.140049037641645752e-03 7.140049037641645752e-03
6.927231900809508458e-01 2.186691934195815179e+01 7.278343172305461184e-03 7.278343172305461184e-03 7.278343172305461184e-03
7.053180571609112270e-01 2.144426644186174968e+01 7.421794703184905057e-03 7.421794703184905057e-03 7.421794703184905057e-03
7.179129242408714973e-01 2.102245152533364347e+01 7.570712811495918480e-03 7.570712811495918480e-03 7.570712811495918480e-03
7.305077913208319895e-01 2.060142115979332900e+01 7.725435146314536122e-03 7.725435146314536122e-03 7.725435146314536122e-03
7.431026584007923708e-01 2.018111207099457616e+01 7.886331661605593124e-03 7.886331661605593124e-03 7.886331661605593124e-03
7.556975254807526410e-01 1.976144882483770360e+01 8.053809439916025797e-03 8.053809439916025797e-03 8.053809439916025797e-03
7.682923925607131332e-01 1.934234177971537960e+01 8.228318210094067234e-03 8.228318210094067234e-03 8.228318210094067234e-03
7.808872596406734035e-01 1.892368342061303466e+01 8.410357516260938762e-03 8.410357516260938762e-03 8.410357516260938762e-03
7.934821267206338957e-01 1.850534484004182190e+01 8.600485128356876938e-03 8.600485128356876938e-03 8.600485128356876938e-03
8.060769938005942770e-01 1.808716988983476881e+01 8.799328145933021234e-03 8.799328145933021234e-03 8.799328145933021234e-03
8.186718608805545472e-01 1.766896898882260913e+01 9.007596492618034564e-03 9.007596492618034564e-03 9.007596492618034564e-03
8.312667279605150394e-01 1.725050924665447027e+01 9.226101143811829206e-03 9.226101143811829206e-03 9.226101143811829206e-03
8.438615950404754207e-01 1.683150248968610541e+01 9.455777533195342324e-03 9.455777533195342324e-03 9.455777533195342324e-03
8.564564621204359129e-01 1.641158747069872703e+01 9.697717748270898164e-03 9.697717748270898164e-03 9.697717748270898164e-03
8.690513292003961832e-01 1.599030540099288089e+01 9.953214719839746996e-03 9.953214719839746996e-03 9.953214719839746996e-03
8.816461962803565644e-01 1.556706376023633176e+01 1.022382547815035847e-02 1.022382547815035847e-02 1.022382547815035847e-02
8.942410633603169456e-01 1.514108158822240568e+01 1.051146459812323485e-02 1.051146459812323485e-02 1.051146459812323485e-02
9.068359304402773269e-01 1.471130298125528668e+01 1.081854838383016978e-02 1.081854838383016978e-02 1.081854838383016978e-02
9.194307975202377081e-01 1.427625490172689204e+01 1.114822789222147913e-02 1.114822789222147913e-02 1.114822789222147913e-02
9.320256646001980894e-01 1.383379596189171501e+01 1.150479185397292395e-02 1.150479185397292395e-02 1.150479185397292395e-02
9.446205316801584706e-01 1.338063496583705714e+01 1.189442380710959216e-02 1.189442380710959216e-02 1.189442380710959216e-02
9.572153987601187408e-01 1.291130372566249562e+01 1.232679104090465480e-02 1.232679104090465480e-02 1.232679104090465480e-02
9.698102658400792331e-01 1.241555867701164928e+01 1.281899165654001686e-02 1.281899165654001686e-02 1.281899165654001686e-02
9.824051329200396143e-01 1.186973331273265231e+01 1.340846832010707257e-02 1.340846832010707257e-02 1.340846832010707257e-02
9.950000000000001066e-01 1.118213416825529549e+01 1.423296668570805251e-02 1.423296668570805251e-02 1.423296668570805251e-02
