# ell  K  y  Kinv  # conv-only IR plasma at alpha/ac=0.9446
0.000000000000000000e+00 4.041895801136937472e+00 2.502629362506351707e-01 2.474086540575122783e-01
1.263334803919539083e-02 2.987016850198322526e+00 2.238922670313884256e-01 3.347821757127366626e-01
2.526669607839078166e-02 2.457092946733601124e+00 2.063069848288076324e-01 4.069850110185597170e-01
3.790004411758617076e-02 2.130527867004941012e+00 1.932610482778839567e-01 4.693672471910834698e-01
5.053339215678156332e-02 1.905758151657097832e+00 1.829947476198512668e-01 5.247255529934259366e-01
6.316674019597695589e-02 1.739877685099775473e+00 1.746056408516200587e-01 5.747530464721454235e-01
7.580008823517234151e-02 1.611420011564621557e+00 1.675685017782065078e-01 6.205706723407522496e-01
8.843343627436774101e-02 1.508370320664525810e+00 1.615506177689089717e-01 6.629671681417340645e-01
1.010667843135631266e-01 1.423441411435209858e+00 1.563279471108822427e-01 7.025227676857682679e-01
1.137001323527585123e-01 1.351937910230388118e+00 1.517425624824046693e-01 7.396789397152023771e-01
1.263334803919539118e-01 1.290687491042719737e+00 1.476789394299916347e-01 7.747808876586544935e-01
1.389668284311492974e-01 1.237463657255211125e+00 1.440500900703541864e-01 8.081045403935953608e-01
1.516001764703446830e-01 1.190654423585393085e+00 1.407890013710547394e-01 8.398742575437805336e-01
1.642335245095400686e-01 1.149061136829272467e+00 1.378428487363576038e-01 8.702757128827863786e-01
1.768668725487354820e-01 1.111773014118700553e+00 1.351694276011283780e-01 8.994641777599695631e-01
1.895002205879308677e-01 1.078084180518666502e+00 1.327344083171603517e-01 9.275713511712042614e-01
2.021335686271262533e-01 1.047438569095176630e+00 1.305095377563288694e-01 9.547099271548152855e-01
2.147669166663216389e-01 1.019391796005084672e+00 1.284713667910332424e-01 9.809770923396876618e-01
2.274002647055170245e-01 9.935837079520442039e-01 1.266000957310825514e-01 1.006457726708483325e+00
2.400336127447124379e-01 9.697194668603533740e-01 1.248790000280136370e-01 1.031226075349075400e+00
2.526669607839078235e-01 9.475550375037182782e-01 1.232938040555272979e-01 1.055347668916884363e+00
2.653003088231031814e-01 9.268863275623308029e-01 1.218321497774452061e-01 1.078880948249560268e+00
