# alpha_over_ac  K_bare  plasma
6.434265839330537418e-01 2.038770230651531179e+00 0.000000000000000000e+00
6.534715386778235935e-01 1.989943496826127367e+00 0.000000000000000000e+00
6.635164934225935562e-01 1.941205760022350013e+00 0.000000000000000000e+00
6.735614481673635190e-01 1.892555125569431507e+00 1.000000000000000000e+00
6.836064029121333707e-01 1.843989420462946782e+00 1.000000000000000000e+00
6.936513576569032224e-01 1.795506137792972190e+00 1.000000000000000000e+00
7.036963124016730742e-01 1.747102422433130409e+00 1.000000000000000000e+00
7.137412671464430369e-01 1.698774983321184040e+00 1.000000000000000000e+00
7.237862218912128887e-01 1.650520087669987923e+00 1.000000000000000000e+00
7.338311766359827404e-01 1.602333415573209185e+00 1.000000000000000000e+00
7.438761313807525921e-01 1.554210052661177732e+00 1.000000000000000000e+00
7.539210861255224438e-01 1.506144338413018202e+00 1.000000000000000000e+00
7.639660408702925176e-01 1.458129764529893846e+00 1.000000000000000000e+00
7.740109956150623693e-01 1.410158830283551712e+00 1.000000000000000000e+00
7.840559503598323321e-01 1.362222855893760798e+00 1.000000000000000000e+00
7.941009051046021838e-01 1.314311789125326646e+00 1.000000000000000000e+00
8.041458598493720356e-01 1.266413920189083386e+00 1.000000000000000000e+00
8.141908145941418873e-01 1.218515563851383599e+00 1.000000000000000000e+00
8.242357693389118500e-01 1.170600618709167096e+00 1.000000000000000000e+00
8.342807240836817018e-01 1.122650078758094194e+00 1.000000000000000000e+00
8.443256788284515535e-01 1.074641296677054658e+00 1.000000000000000000e+00
8.543706335732216273e-01 1.026547117923342967e+00 1.000000000000000000e+00
8.644155883179914790e-01 9.783346846354646908e-01 1.000000000000000000e+00
8.744605430627613307e-01 9.299638321970502552e-01 1.000000000000000000e+00
8.845054978075311825e-01 8.813848392399630249e-01 1.000000000000000000e+00
8.945504525523011452e-01 8.325352660486534662e-01 1.000000000000000000e+00
9.045954072970709969e-01 7.833353916956129481e-01 1.000000000000000000e+00
9.146403620418408487e-01 7.336813430477041598e-01 1.000000000000000000e+00
9.246853167866109224e-01 6.834342130868383824e-01 1.000000000000000000e+00
9.347302715313807742e-01 6.324024780984622840e-01 1.000000000000000000e+00
9.447752262761506259e-01 5.803109681905889161e-01 1.000000000000000000e+00
9.548201810209204776e-01 5.267426222004996106e-01 1.000000000000000000e+00
9.648651357656904404e-01 4.710152581056027965e-01 1.000000000000000000e+00
9.749100905104602921e-01 4.118780922939768163e-01 1.000000000000000000e+00
9.849550452552301438e-01 3.465388159214011776e-01 1.000000000000000000e+00
9.949999999999999956e-01 2.651649040603202279e-01 1.000000000000000000e+00
