# t_A  delta_phys  delta_sqrt  delta_bkt  delta_c
7.709554603399423334e-01 8.781750913839999617e-01 6.707067135955706583e-01 6.712492287113568379e-01 1.817956018219515357e-01
7.935633277873933578e-01 8.907326876969999807e-01 6.778234488318918283e-01 6.750991728693453986e-01 1.817956018219515357e-01
8.168341591761034692e-01 9.035247946869999769e-01 6.850437773783348838e-01 6.789154879284532429e-01 1.817956018219515357e-01
8.407873955784511688e-01 9.165556521529999445e-01 6.923692071698647199e-01 6.826981594701070355e-01 1.817956018219515357e-01
8.654430481661423702e-01 9.298295632020000534e-01 6.998012680913957562e-01 6.864471830418339415e-01 1.817956018219515357e-01
8.908217149280737157e-01 9.433508945199999829e-01 7.073415122973013558e-01 6.901625638903388094e-01 1.817956018219515357e-01
9.169445978784384055e-01 9.571240767540000194e-01 7.149915145355736357e-01 6.938443166970098552e-01 1.817956018219515357e-01
9.438335207694590334e-01 9.711536047269999639e-01 7.227528724767048329e-01 6.974924653159938481e-01 1.817956018219515357e-01
9.715109473235286064e-01 9.854440378200000072e-01 7.306272070473527336e-01 7.011070425149655838e-01 1.817956018219515357e-01
1.000000000000000000e+00 1.000000000000000000e+00 7.386161627688639930e-01 7.046880897187134396e-01 1.817956018219515357e-01
