# t_A  delta_phys  delta_sqrt  delta_bkt  delta_c
1.236090330782557527e-02 2.467870025139999868e-01 2.437026886883533749e-01 4.293535979109409928e-02 1.817956018219515357e-01
1.272338036115737599e-02 2.477951521310000071e-01 2.446038266168448216e-01 4.491906676857595343e-02 1.817956018219515357e-01
1.309648686534079301e-02 2.488197359740000059e-01 2.455180817764525958e-01 4.696398157669395140e-02 1.817956018219515357e-01
1.348053452348741722e-02 2.498610545609999956e-01 2.464456451054856112e-01 4.907063713513896974e-02 1.817956018219515357e-01
1.387584417924031012e-02 2.509193672650000262e-01 2.473867103216074725e-01 5.123952186000041431e-02 1.817956018219515357e-01
1.428274608481527874e-02 2.519950183410000211e-01 2.483414739622935574e-01 5.347107883740478268e-02 1.817956018219515357e-01
1.470158017690242729e-02 2.530882621889999906e-01 2.493101354258770996e-01 5.576570508525394848e-02 1.817956018219515357e-01
1.513269636065827511e-02 2.541994466420000043e-01 2.502928970131926834e-01 5.812375090374274911e-02 1.817956018219515357e-01
1.557645480202586585e-02 2.553288810470000225e-01 2.512899639698257248e-01 6.054551931505124801e-02 1.817956018219515357e-01
1.603322622862701080e-02 2.564768903749999884e-01 2.523015445289774061e-01 6.303126559232503923e-02 1.817956018219515357e-01
1.650339223947796738e-02 2.576437950470000238e-01 2.533278499549532214e-01 6.558119687778581064e-02 1.817956018219515357e-01
1.698734562378748439e-02 2.588299246190000069e-01 2.543690945872845166e-01 6.819547188955175920e-02 1.817956018219515357e-01
1.748549068910330850e-02 2.600356400109999910e-01 2.554254958854924595e-01 7.087420071649139230e-02 1.817956018219515357e-01
1.799824359908150373e-02 2.612612861670000064e-01 2.564972744745036004e-01 7.361744470019260245e-02 1.817956018219515357e-01
1.852603272116069497e-02 2.625072060890000225e-01 2.575846541907264031e-01 7.642521640289563767e-02 1.817956018219515357e-01
1.906929898443154858e-02 2.637737602960000260e-01 2.586878621287983515e-01 7.929747966001572668e-02 1.817956018219515357e-01
